date,state,value
2024-09-28T07:00:00Z,Vermont,NA
2024-09-28T07:00:00Z,Virginia,0.66725
2024-09-28T07:00:00Z,Washington,0.97575
2024-09-28T07:00:00Z,West Virginia,0.1185
2024-09-28T07:00:00Z,Wisconsin,NA
2024-09-28T07:00:00Z,Wyoming,NA
2024-09-29T07:00:00Z,Alabama,0.7867500000000001
2024-09-29T07:00:00Z,Alaska,0.41025
2024-09-29T07:00:00Z,Arizona,0.99675
2024-09-29T07:00:00Z,Arkansas,0.632
2024-09-29T07:00:00Z,California,0.9862500000000001
2024-09-29T07:00:00Z,Colorado,0.60875
2024-09-29T07:00:00Z,Connecticut,0.51325
2024-09-29T07:00:00Z,Delaware,NA
2024-09-29T07:00:00Z,District of Columbia,NA
2024-09-29T07:00:00Z,Florida,0.76525
2024-09-29T07:00:00Z,Georgia,0.86325
2024-09-29T07:00:00Z,Hawaii,0.48
2024-09-29T07:00:00Z,Idaho,0.9775
2024-09-29T07:00:00Z,Illinois,0.9417500000000001
2024-09-29T07:00:00Z,Indiana,0.93625
2024-09-29T07:00:00Z,Iowa,0.8125
2024-09-29T07:00:00Z,Kansas,0.90125
2024-09-29T07:00:00Z,Kentucky,NA
2024-09-29T07:00:00Z,Louisiana,0.83325
2024-09-29T07:00:00Z,Maine,NA
2024-09-29T07:00:00Z,Maryland,NA
2024-09-29T07:00:00Z,Massachusetts,0.93275
2024-09-29T07:00:00Z,Michigan,0.71275
2024-09-29T07:00:00Z,Minnesota,0.84
2024-09-29T07:00:00Z,Mississippi,0.7505
2024-09-29T07:00:00Z,Missouri,NA
2024-09-29T07:00:00Z,Montana,NA
2024-09-29T07:00:00Z,Nebraska,NA
2024-09-29T07:00:00Z,Nevada,0.98575
2024-09-29T07:00:00Z,New Hampshire,NA
2024-09-29T07:00:00Z,New Jersey,0.794
2024-09-29T07:00:00Z,New Mexico,0.93325
2024-09-29T07:00:00Z,New York,0.92875
2024-09-29T07:00:00Z,North Carolina,0.7457499999999999
2024-09-29T07:00:00Z,North Dakota,NA
2024-09-29T07:00:00Z,Ohio,0.523
2024-09-29T07:00:00Z,Oklahoma,0.491
2024-09-29T07:00:00Z,Oregon,0.9924999999999999
2024-09-29T07:00:00Z,Pennsylvania,0.56225
2024-09-29T07:00:00Z,Rhode Island,NA
2024-09-29T07:00:00Z,South Carolina,0.66575
2024-09-29T07:00:00Z,South Dakota,NA
2024-09-29T07:00:00Z,Tennessee,0.61575
2024-09-29T07:00:00Z,Texas,0.99525
2024-09-29T07:00:00Z,United States,0.974
2024-09-29T07:00:00Z,Utah,0.9850000000000001
2024-09-29T07:00:00Z,Vermont,NA
2024-09-29T07:00:00Z,Virginia,0.66725
2024-09-29T07:00:00Z,Washington,0.97575
2024-09-29T07:00:00Z,West Virginia,0.1185
2024-09-29T07:00:00Z,Wisconsin,NA
2024-09-29T07:00:00Z,Wyoming,NA
2024-09-30T07:00:00Z,Alabama,0.7867500000000001
2024-09-30T07:00:00Z,Alaska,0.41025
2024-09-30T07:00:00Z,Arizona,0.99675
2024-09-30T07:00:00Z,Arkansas,0.632
2024-09-30T07:00:00Z,California,0.9862500000000001
2024-09-30T07:00:00Z,Colorado,0.60875
2024-09-30T07:00:00Z,Connecticut,0.51325
2024-09-30T07:00:00Z,Delaware,NA
2024-09-30T07:00:00Z,District of Columbia,NA
2024-09-30T07:00:00Z,Florida,0.76525
2024-09-30T07:00:00Z,Georgia,0.86325
2024-09-30T07:00:00Z,Hawaii,0.48
2024-09-30T07:00:00Z,Idaho,0.9775
2024-09-30T07:00:00Z,Illinois,0.9417500000000001
2024-09-30T07:00:00Z,Indiana,0.93625
2024-09-30T07:00:00Z,Iowa,0.8125
2024-09-30T07:00:00Z,Kansas,0.90125
2024-09-30T07:00:00Z,Kentucky,NA
2024-09-30T07:00:00Z,Louisiana,0.83325
2024-09-30T07:00:00Z,Maine,NA
2024-09-30T07:00:00Z,Maryland,NA
2024-09-30T07:00:00Z,Massachusetts,0.93275
2024-09-30T07:00:00Z,Michigan,0.71275
2024-09-30T07:00:00Z,Minnesota,0.84
2024-09-30T07:00:00Z,Mississippi,0.7505
2024-09-30T07:00:00Z,Missouri,NA
2024-09-30T07:00:00Z,Montana,NA
2024-09-30T07:00:00Z,Nebraska,NA
2024-09-30T07:00:00Z,Nevada,0.98575
2024-09-30T07:00:00Z,New Hampshire,NA
2024-09-30T07:00:00Z,New Jersey,0.794
2024-09-30T07:00:00Z,New Mexico,0.93325
2024-09-30T07:00:00Z,New York,0.92875
2024-09-30T07:00:00Z,North Carolina,0.7457499999999999
2024-09-30T07:00:00Z,North Dakota,NA
2024-09-30T07:00:00Z,Ohio,0.523
2024-09-30T07:00:00Z,Oklahoma,0.491
2024-09-30T07:00:00Z,Oregon,0.9924999999999999
2024-09-30T07:00:00Z,Pennsylvania,0.56225
2024-09-30T07:00:00Z,Rhode Island,NA
2024-09-30T07:00:00Z,South Carolina,0.66575
2024-09-30T07:00:00Z,South Dakota,NA
2024-09-30T07:00:00Z,Tennessee,0.61575
2024-09-30T07:00:00Z,Texas,0.99525
2024-09-30T07:00:00Z,United States,0.974
2024-09-30T07:00:00Z,Utah,0.9850000000000001
2024-09-30T07:00:00Z,Vermont,NA
2024-09-30T07:00:00Z,Virginia,0.66725
2024-09-30T07:00:00Z,Washington,0.97575
2024-09-30T07:00:00Z,West Virginia,0.1185
2024-09-30T07:00:00Z,Wisconsin,NA
2024-09-30T07:00:00Z,Wyoming,NA
2024-10-01T07:00:00Z,Alabama,0.7867500000000001
2024-10-01T07:00:00Z,Alaska,0.41025
2024-10-01T07:00:00Z,Arizona,0.99675
2024-10-01T07:00:00Z,Arkansas,0.632
2024-10-01T07:00:00Z,California,0.9862500000000001
2024-10-01T07:00:00Z,Colorado,0.60875
2024-10-01T07:00:00Z,Connecticut,0.51325
2024-10-01T07:00:00Z,Delaware,NA
2024-10-01T07:00:00Z,District of Columbia,NA
2024-10-01T07:00:00Z,Florida,0.76525
2024-10-01T07:00:00Z,Georgia,0.86325
2024-10-01T07:00:00Z,Hawaii,0.48
2024-10-01T07:00:00Z,Idaho,0.9775
2024-10-01T07:00:00Z,Illinois,0.9417500000000001
2024-10-01T07:00:00Z,Indiana,0.93625
2024-10-01T07:00:00Z,Iowa,0.8125
2024-10-01T07:00:00Z,Kansas,0.90125
2024-10-01T07:00:00Z,Kentucky,NA
2024-10-01T07:00:00Z,Louisiana,0.83325
2024-10-01T07:00:00Z,Maine,NA
2024-10-01T07:00:00Z,Maryland,NA
2024-10-01T07:00:00Z,Massachusetts,0.93275
2024-10-01T07:00:00Z,Michigan,0.71275
2024-10-01T07:00:00Z,Minnesota,0.84
2024-10-01T07:00:00Z,Mississippi,0.7505
2024-10-01T07:00:00Z,Missouri,NA
2024-10-01T07:00:00Z,Montana,NA
2024-10-01T07:00:00Z,Nebraska,NA
2024-10-01T07:00:00Z,Nevada,0.98575
2024-10-01T07:00:00Z,New Hampshire,NA
2024-10-01T07:00:00Z,New Jersey,0.794
2024-10-01T07:00:00Z,New Mexico,0.93325
2024-10-01T07:00:00Z,New York,0.92875
2024-10-01T07:00:00Z,North Carolina,0.7457499999999999
2024-10-01T07:00:00Z,North Dakota,NA
2024-10-01T07:00:00Z,Ohio,0.523
2024-10-01T07:00:00Z,Oklahoma,0.491
2024-10-01T07:00:00Z,Oregon,0.9924999999999999
2024-10-01T07:00:00Z,Pennsylvania,0.56225
2024-10-01T07:00:00Z,Rhode Island,NA
2024-10-01T07:00:00Z,South Carolina,0.66575
2024-10-01T07:00:00Z,South Dakota,NA
2024-10-01T07:00:00Z,Tennessee,0.61575
2024-10-01T07:00:00Z,Texas,0.99525
2024-10-01T07:00:00Z,United States,0.974
2024-10-01T07:00:00Z,Utah,0.9850000000000001
2024-10-01T07:00:00Z,Vermont,NA
2024-10-01T07:00:00Z,Virginia,0.66725
2024-10-01T07:00:00Z,Washington,0.97575
2024-10-01T07:00:00Z,West Virginia,0.1185
2024-10-01T07:00:00Z,Wisconsin,NA
2024-10-01T07:00:00Z,Wyoming,NA
2024-10-02T07:00:00Z,Alabama,0.7666666666666667
2024-10-02T07:00:00Z,Alaska,0.6015
2024-10-02T07:00:00Z,Arizona,0.99783333333333335
2024-10-02T07:00:00Z,Arkansas,0.707
2024-10-02T07:00:00Z,California,0.99
2024-10-02T07:00:00Z,Colorado,0.7251666666666666
2024-10-02T07:00:00Z,Connecticut,0.6628333333333334
2024-10-02T07:00:00Z,Delaware,NA
2024-10-02T07:00:00Z,District of Columbia,NA
2024-10-02T07:00:00Z,Florida,0.7756666666666667
2024-10-02T07:00:00Z,Georgia,0.8911666666666667
2024-10-02T07:00:00Z,Hawaii,0.4545
2024-10-02T07:00:00Z,Idaho,0.9838333333333333
2024-10-02T07:00:00Z,Illinois,0.9455
2024-10-02T07:00:00Z,Indiana,0.938
2024-10-02T07:00:00Z,Iowa,0.8511666666666666
2024-10-02T07:00:00Z,Kansas,0.9315
2024-10-02T07:00:00Z,Kentucky,NA
2024-10-02T07:00:00Z,Louisiana,0.8813333333333333
2024-10-02T07:00:00Z,Maine,NA
2024-10-02T07:00:00Z,Maryland,NA
2024-10-02T07:00:00Z,Massachusetts,0.9545
2024-10-02T07:00:00Z,Michigan,0.7866666666666666
2024-10-02T07:00:00Z,Minnesota,0.7895
2024-10-02T07:00:00Z,Mississippi,0.6196666666666667
2024-10-02T07:00:00Z,Missouri,NA
2024-10-02T07:00:00Z,Montana,NA
2024-10-02T07:00:00Z,Nebraska,NA
2024-10-02T07:00:00Z,Nevada,0.9536666666666667
2024-10-02T07:00:00Z,New Hampshire,NA
2024-10-02T07:00:00Z,New Jersey,0.8571666666666666
2024-10-02T07:00:00Z,New Mexico,0.9475
2024-10-02T07:00:00Z,New York,0.9525
2024-10-02T07:00:00Z,North Carolina,0.8178333333333333
2024-10-02T07:00:00Z,North Dakota,NA
2024-10-02T07:00:00Z,Ohio,0.5523333333333333
2024-10-02T07:00:00Z,Oklahoma,0.62
2024-10-02T07:00:00Z,Oregon,0.9633333333333334
2024-10-02T07:00:00Z,Pennsylvania,0.7000000000000001
2024-10-02T07:00:00Z,Rhode Island,NA
2024-10-02T07:00:00Z,South Carolina,0.6465
2024-10-02T07:00:00Z,South Dakota,NA
2024-10-02T07:00:00Z,Tennessee,0.741
2024-10-02T07:00:00Z,Texas,0.9968333333333333
2024-10-02T07:00:00Z,United States,0.9826666666666667
2024-10-02T07:00:00Z,Utah,0.9871666666666667
2024-10-02T07:00:00Z,Vermont,NA
2024-10-02T07:00:00Z,Virginia,0.778
2024-10-02T07:00:00Z,Washington,0.9828333333333333
2024-10-02T07:00:00Z,West Virginia,0.09483333333333333
2024-10-02T07:00:00Z,Wisconsin,NA
2024-10-02T07:00:00Z,Wyoming,NA
2024-10-03T07:00:00Z,Alabama,0.7666666666666667
2024-10-03T07:00:00Z,Alaska,0.6015
2024-10-03T07:00:00Z,Arizona,0.99783333333333335
2024-10-03T07:00:00Z,Arkansas,0.707
2024-10-03T07:00:00Z,California,0.99
2024-10-03T07:00:00Z,Colorado,0.7251666666666666
2024-10-03T07:00:00Z,Connecticut,0.6628333333333334
2024-10-03T07:00:00Z,Delaware,NA
2024-10-03T07:00:00Z,District of Columbia,NA
2024-10-03T07:00:00Z,Florida,0.7756666666666667
2024-10-03T07:00:00Z,Georgia,0.8911666666666667
2024-10-03T07:00:00Z,Hawaii,0.4545
2024-10-03T07:00:00Z,Idaho,0.9838333333333333
2024-10-03T07:00:00Z,Illinois,0.9455
2024-10-03T07:00:00Z,Indiana,0.938
2024-10-03T07:00:00Z,Iowa,0.8511666666666666
2024-10-03T07:00:00Z,Kansas,0.9315
2024-10-03T07:00:00Z,Kentucky,NA
2024-10-03T07:00:00Z,Louisiana,0.8813333333333333
2024-10-03T07:00:00Z,Maine,NA
2024-10-03T07:00:00Z,Maryland,NA
2024-10-03T07:00:00Z,Massachusetts,0.9545
2024-10-03T07:00:00Z,Michigan,0.7866666666666666
2024-10-03T07:00:00Z,Minnesota,0.7895
2024-10-03T07:00:00Z,Mississippi,0.6196666666666667
2024-10-03T07:00:00Z,Missouri,NA
2024-10-03T07:00:00Z,Montana,NA
2024-10-03T07:00:00Z,Nebraska,NA
2024-10-03T07:00:00Z,Nevada,0.9536666666666667
2024-10-03T07:00:00Z,New Hampshire,NA
2024-10-03T07:00:00Z,New Jersey,0.8571666666666666
2024-10-03T07:00:00Z,New Mexico,0.9475
2024-10-03T07:00:00Z,New York,0.9525
2024-10-03T07:00:00Z,North Carolina,0.8178333333333333
2024-10-03T07:00:00Z,North Dakota,NA
2024-10-03T07:00:00Z,Ohio,0.5523333333333333
2024-10-03T07:00:00Z,Oklahoma,0.62
2024-10-03T07:00:00Z,Oregon,0.9633333333333334
2024-10-03T07:00:00Z,Pennsylvania,0.7000000000000001
2024-10-03T07:00:00Z,Rhode Island,NA
2024-10-03T07:00:00Z,South Carolina,0.6465
2024-10-03T07:00:00Z,South Dakota,NA
2024-10-03T07:00:00Z,Tennessee,0.741
2024-10-03T07:00:00Z,Texas,0.9968333333333333
2024-10-03T07:00:00Z,United States,0.9826666666666667
2024-10-03T07:00:00Z,Utah,0.9871666666666667
2024-10-03T07:00:00Z,Vermont,NA
2024-10-03T07:00:00Z,Virginia,0.778
2024-10-03T07:00:00Z,Washington,0.9828333333333333
2024-10-03T07:00:00Z,West Virginia,0.09483333333333333
2024-10-03T07:00:00Z,Wisconsin,NA
2024-10-03T07:00:00Z,Wyoming,NA
2024-10-04T07:00:00Z,Alabama,0.7666666666666667
2024-10-04T07:00:00Z,Alaska,0.6015
2024-10-04T07:00:00Z,Arizona,0.99783333333333335
2024-10-04T07:00:00Z,Arkansas,0.707
2024-10-04T07:00:00Z,California,0.99
2024-10-04T07:00:00Z,Colorado,0.7251666666666666
2024-10-04T07:00:00Z,Connecticut,0.6628333333333334
2024-10-04T07:00:00Z,Delaware,NA
2024-10-04T07:00:00Z,District of Columbia,NA
2024-10-04T07:00:00Z,Florida,0.7756666666666667
2024-10-04T07:00:00Z,Georgia,0.8911666666666667
2024-10-04T07:00:00Z,Hawaii,0.4545
2024-10-04T07:00:00Z,Idaho,0.9838333333333333
2024-10-04T07:00:00Z,Illinois,0.9455
2024-10-04T07:00:00Z,Indiana,0.938
2024-10-04T07:00:00Z,Iowa,0.8511666666666666
2024-10-04T07:00:00Z,Kansas,0.9315
2024-10-04T07:00:00Z,Kentucky,NA
2024-10-04T07:00:00Z,Louisiana,0.8813333333333333
2024-10-04T07:00:00Z,Maine,NA
2024-10-04T07:00:00Z,Maryland,NA
2024-10-04T07:00:00Z,Massachusetts,0.9545
2024-10-04T07:00:00Z,Michigan,0.7866666666666666
2024-10-04T07:00:00Z,Minnesota,0.7895
2024-10-04T07:00:00Z,Mississippi,0.6196666666666667
2024-10-04T07:00:00Z,Missouri,NA
2024-10-04T07:00:00Z,Montana,NA
2024-10-04T07:00:00Z,Nebraska,NA
2024-10-04T07:00:00Z,Nevada,0.9536666666666667
2024-10-04T07:00:00Z,New Hampshire,NA
2024-10-04T07:00:00Z,New Jersey,0.8571666666666666
2024-10-04T07:00:00Z,New Mexico,0.9475
2024-10-04T07:00:00Z,New York,0.9525
2024-10-04T07:00:00Z,North Carolina,0.8178333333333333
2024-10-04T07:00:00Z,North Dakota,NA
2024-10-04T07:00:00Z,Ohio,0.5523333333333333
2024-10-04T07:00:00Z,Oklahoma,0.62
2024-10-04T07:00:00Z,Oregon,0.9633333333333334
2024-10-04T07:00:00Z,Pennsylvania,0.7000000000000001
2024-10-04T07:00:00Z,Rhode Island,NA
2024-10-04T07:00:00Z,South Carolina,0.6465
2024-10-04T07:00:00Z,South Dakota,NA
2024-10-04T07:00:00Z,Tennessee,0.741
2024-10-04T07:00:00Z,Texas,0.9968333333333333
2024-10-04T07:00:00Z,United States,0.9826666666666667
2024-10-04T07:00:00Z,Utah,0.9871666666666667
2024-10-04T07:00:00Z,Vermont,NA
2024-10-04T07:00:00Z,Virginia,0.778
2024-10-04T07:00:00Z,Washington,0.9828333333333333
2024-10-04T07:00:00Z,West Virginia,0.09483333333333333
2024-10-04T07:00:00Z,Wisconsin,NA
2024-10-04T07:00:00Z,Wyoming,NA
2024-10-05T07:00:00Z,Alabama,0.7666666666666667
2024-10-05T07:00:00Z,Alaska,0.6015
2024-10-05T07:00:00Z,Arizona,0.99783333333333335
2024-10-05T07:00:00Z,Arkansas,0.707
2024-10-05T07:00:00Z,California,0.99
2024-10-05T07:00:00Z,Colorado,0.7251666666666666
2024-10-05T07:00:00Z,Connecticut,0.6628333333333334
2024-10-05T07:00:00Z,Delaware,NA
2024-10-05T07:00:00Z,District of Columbia,NA
2024-10-05T07:00:00Z,Florida,0.7756666666666667
2024-10-05T07:00:00Z,Georgia,0.8911666666666667
2024-10-05T07:00:00Z,Hawaii,0.4545
2024-10-05T07:00:00Z,Idaho,0.9838333333333333
2024-10-05T07:00:00Z,Illinois,0.9455
2024-10-05T07:00:00Z,Indiana,0.938
2024-10-05T07:00:00Z,Iowa,0.8511666666666666
2024-10-05T07:00:00Z,Kansas,0.9315
2024-10-05T07:00:00Z,Kentucky,NA
2024-10-05T07:00:00Z,Louisiana,0.8813333333333333
2024-10-05T07:00:00Z,Maine,NA
2024-10-05T07:00:00Z,Maryland,NA
2024-10-05T07:00:00Z,Massachusetts,0.9545
2024-10-05T07:00:00Z,Michigan,0.7866666666666666
2024-10-05T07:00:00Z,Minnesota,0.7895
2024-10-05T07:00:00Z,Mississippi,0.6196666666666667
2024-10-05T07:00:00Z,Missouri,NA
2024-10-05T07:00:00Z,Montana,NA
2024-10-05T07:00:00Z,Nebraska,NA
2024-10-05T07:00:00Z,Nevada,0.9536666666666667
2024-10-05T07:00:00Z,New Hampshire,NA
2024-10-05T07:00:00Z,New Jersey,0.8571666666666666
2024-10-05T07:00:00Z,New Mexico,0.9475
2024-10-05T07:00:00Z,New York,0.9525
2024-10-05T07:00:00Z,North Carolina,0.8178333333333333
2024-10-05T07:00:00Z,North Dakota,NA
2024-10-05T07:00:00Z,Ohio,0.5523333333333333
2024-10-05T07:00:00Z,Oklahoma,0.62
2024-10-05T07:00:00Z,Oregon,0.9633333333333334
2024-10-05T07:00:00Z,Pennsylvania,0.7000000000000001
2024-10-05T07:00:00Z,Rhode Island,NA
2024-10-05T07:00:00Z,South Carolina,0.6465
2024-10-05T07:00:00Z,South Dakota,NA
2024-10-05T07:00:00Z,Tennessee,0.741
2024-10-05T07:00:00Z,Texas,0.9968333333333333
2024-10-05T07:00:00Z,United States,0.9826666666666667
2024-10-05T07:00:00Z,Utah,0.9871666666666667
2024-10-05T07:00:00Z,Vermont,NA
2024-10-05T07:00:00Z,Virginia,0.778
2024-10-05T07:00:00Z,Washington,0.9828333333333333
2024-10-05T07:00:00Z,West Virginia,0.09483333333333333
2024-10-05T07:00:00Z,Wisconsin,NA
2024-10-05T07:00:00Z,Wyoming,NA
2024-10-06T07:00:00Z,Alabama,0.7666666666666667
2024-10-06T07:00:00Z,Alaska,0.6015
2024-10-06T07:00:00Z,Arizona,0.99783333333333335
2024-10-06T07:00:00Z,Arkansas,0.707
2024-10-06T07:00:00Z,California,0.99
2024-10-06T07:00:00Z,Colorado,0.7251666666666666
2024-10-06T07:00:00Z,Connecticut,0.6628333333333334
2024-10-06T07:00:00Z,Delaware,NA
2024-10-06T07:00:00Z,District of Columbia,NA
2024-10-06T07:00:00Z,Florida,0.7756666666666667
2024-10-06T07:00:00Z,Georgia,0.8911666666666667
2024-10-06T07:00:00Z,Hawaii,0.4545
2024-10-06T07:00:00Z,Idaho,0.9838333333333333
2024-10-06T07:00:00Z,Illinois,0.9455
2024-10-06T07:00:00Z,Indiana,0.938
2024-10-06T07:00:00Z,Iowa,0.8511666666666666
2024-10-06T07:00:00Z,Kansas,0.9315
2024-10-06T07:00:00Z,Kentucky,NA
2024-10-06T07:00:00Z,Louisiana,0.8813333333333333
2024-10-06T07:00:00Z,Maine,NA
2024-10-06T07:00:00Z,Maryland,NA
2024-10-06T07:00:00Z,Massachusetts,0.9545
2024-10-06T07:00:00Z,Michigan,0.7866666666666666
2024-10-06T07:00:00Z,Minnesota,0.7895
2024-10-06T07:00:00Z,Mississippi,0.6196666666666667
2024-10-06T07:00:00Z,Missouri,NA
2024-10-06T07:00:00Z,Montana,NA
2024-10-06T07:00:00Z,Nebraska,NA
2024-10-06T07:00:00Z,Nevada,0.9536666666666667
2024-10-06T07:00:00Z,New Hampshire,NA
2024-10-06T07:00:00Z,New Jersey,0.8571666666666666
2024-10-06T07:00:00Z,New Mexico,0.9475
2024-10-06T07:00:00Z,New York,0.9525
2024-10-06T07:00:00Z,North Carolina,0.8178333333333333
2024-10-06T07:00:00Z,North Dakota,NA
2024-10-06T07:00:00Z,Ohio,0.5523333333333333
2024-10-06T07:00:00Z,Oklahoma,0.62
2024-10-06T07:00:00Z,Oregon,0.9633333333333334
2024-10-06T07:00:00Z,Pennsylvania,0.7000000000000001
2024-10-06T07:00:00Z,Rhode Island,NA
2024-10-06T07:00:00Z,South Carolina,0.6465
2024-10-06T07:00:00Z,South Dakota,NA
2024-10-06T07:00:00Z,Tennessee,0.741
2024-10-06T07:00:00Z,Texas,0.9968333333333333
2024-10-06T07:00:00Z,United States,0.9826666666666667
2024-10-06T07:00:00Z,Utah,0.9871666666666667
2024-10-06T07:00:00Z,Vermont,NA
2024-10-06T07:00:00Z,Virginia,0.778
2024-10-06T07:00:00Z,Washington,0.9828333333333333
2024-10-06T07:00:00Z,West Virginia,0.09483333333333333
2024-10-06T07:00:00Z,Wisconsin,NA
2024-10-06T07:00:00Z,Wyoming,NA
2024-10-07T07:00:00Z,Alabama,0.7666666666666667
2024-10-07T07:00:00Z,Alaska,0.6015
2024-10-07T07:00:00Z,Arizona,0.99783333333333335
2024-10-07T07:00:00Z,Arkansas,0.707
2024-10-07T07:00:00Z,California,0.99
2024-10-07T07:00:00Z,Colorado,0.7251666666666666
2024-10-07T07:00:00Z,Connecticut,0.6628333333333334
2024-10-07T07:00:00Z,Delaware,NA
2024-10-07T07:00:00Z,District of Columbia,NA
2024-10-07T07:00:00Z,Florida,0.7756666666666667
2024-10-07T07:00:00Z,Georgia,0.8911666666666667
2024-10-07T07:00:00Z,Hawaii,0.4545
2024-10-07T07:00:00Z,Idaho,0.9838333333333333
2024-10-07T07:00:00Z,Illinois,0.9455
2024-10-07T07:00:00Z,Indiana,0.938
2024-10-07T07:00:00Z,Iowa,0.8511666666666666
2024-10-07T07:00:00Z,Kansas,0.9315
2024-10-07T07:00:00Z,Kentucky,NA
2024-10-07T07:00:00Z,Louisiana,0.8813333333333333
2024-10-07T07:00:00Z,Maine,NA
2024-10-07T07:00:00Z,Maryland,NA
2024-10-07T07:00:00Z,Massachusetts,0.9545
2024-10-07T07:00:00Z,Michigan,0.7866666666666666
2024-10-07T07:00:00Z,Minnesota,0.7895
2024-10-07T07:00:00Z,Mississippi,0.6196666666666667
2024-10-07T07:00:00Z,Missouri,NA
2024-10-07T07:00:00Z,Montana,NA
2024-10-07T07:00:00Z,Nebraska,NA
2024-10-07T07:00:00Z,Nevada,0.9536666666666667
2024-10-07T07:00:00Z,New Hampshire,NA
2024-10-07T07:00:00Z,New Jersey,0.8571666666666666
2024-10-07T07:00:00Z,New Mexico,0.9475
2024-10-07T07:00:00Z,New York,0.9525
2024-10-07T07:00:00Z,North Carolina,0.8178333333333333
2024-10-07T07:00:00Z,North Dakota,NA
2024-10-07T07:00:00Z,Ohio,0.5523333333333333
2024-10-07T07:00:00Z,Oklahoma,0.62
2024-10-07T07:00:00Z,Oregon,0.9633333333333334
2024-10-07T07:00:00Z,Pennsylvania,0.7000000000000001
2024-10-07T07:00:00Z,Rhode Island,NA
2024-10-07T07:00:00Z,South Carolina,0.6465
2024-10-07T07:00:00Z,South Dakota,NA
2024-10-07T07:00:00Z,Tennessee,0.741
2024-10-07T07:00:00Z,Texas,0.9968333333333333
2024-10-07T07:00:00Z,United States,0.9826666666666667
2024-10-07T07:00:00Z,Utah,0.9871666666666667
2024-10-07T07:00:00Z,Vermont,NA
2024-10-07T07:00:00Z,Virginia,0.778
2024-10-07T07:00:00Z,Washington,0.9828333333333333
2024-10-07T07:00:00Z,West Virginia,0.09483333333333333
2024-10-07T07:00:00Z,Wisconsin,NA
2024-10-07T07:00:00Z,Wyoming,NA
2024-10-08T07:00:00Z,Alabama,0.7666666666666667
2024-10-08T07:00:00Z,Alaska,0.6015
2024-10-08T07:00:00Z,Arizona,0.99783333333333335
2024-10-08T07:00:00Z,Arkansas,0.707
2024-10-08T07:00:00Z,California,0.99
2024-10-08T07:00:00Z,Colorado,0.7251666666666666
2024-10-08T07:00:00Z,Connecticut,0.6628333333333334
2024-10-08T07:00:00Z,Delaware,NA
2024-10-08T07:00:00Z,District of Columbia,NA
2024-10-08T07:00:00Z,Florida,0.7756666666666667
2024-10-08T07:00:00Z,Georgia,0.8911666666666667
2024-10-08T07:00:00Z,Hawaii,0.4545
2024-10-08T07:00:00Z,Idaho,0.9838333333333333
2024-10-08T07:00:00Z,Illinois,0.9455
2024-10-08T07:00:00Z,Indiana,0.938
2024-10-08T07:00:00Z,Iowa,0.8511666666666666
2024-10-08T07:00:00Z,Kansas,0.9315
2024-10-08T07:00:00Z,Kentucky,NA
2024-10-08T07:00:00Z,Louisiana,0.8813333333333333
2024-10-08T07:00:00Z,Maine,NA
2024-10-08T07:00:00Z,Maryland,NA
2024-10-08T07:00:00Z,Massachusetts,0.9545
2024-10-08T07:00:00Z,Michigan,0.7866666666666666
2024-10-08T07:00:00Z,Minnesota,0.7895
2024-10-08T07:00:00Z,Mississippi,0.6196666666666667
2024-10-08T07:00:00Z,Missouri,NA
2024-10-08T07:00:00Z,Montana,NA
2024-10-08T07:00:00Z,Nebraska,NA
2024-10-08T07:00:00Z,Nevada,0.9536666666666667
2024-10-08T07:00:00Z,New Hampshire,NA
2024-10-08T07:00:00Z,New Jersey,0.8571666666666666
2024-10-08T07:00:00Z,New Mexico,0.9475
2024-10-08T07:00:00Z,New York,0.9525
2024-10-08T07:00:00Z,North Carolina,0.8178333333333333
2024-10-08T07:00:00Z,North Dakota,NA
2024-10-08T07:00:00Z,Ohio,0.5523333333333333
2024-10-08T07:00:00Z,Oklahoma,0.62
2024-10-08T07:00:00Z,Oregon,0.9633333333333334
2024-10-08T07:00:00Z,Pennsylvania,0.7000000000000001
2024-10-08T07:00:00Z,Rhode Island,NA
2024-10-08T07:00:00Z,South Carolina,0.6465
2024-10-08T07:00:00Z,South Dakota,NA
2024-10-08T07:00:00Z,Tennessee,0.741
2024-10-08T07:00:00Z,Texas,0.9968333333333333
2024-10-08T07:00:00Z,United States,0.9826666666666667
2024-10-08T07:00:00Z,Utah,0.9871666666666667
2024-10-08T07:00:00Z,Vermont,NA
2024-10-08T07:00:00Z,Virginia,0.778
2024-10-08T07:00:00Z,Washington,0.9828333333333333
2024-10-08T07:00:00Z,West Virginia,0.09483333333333333
2024-10-08T07:00:00Z,Wisconsin,NA
2024-10-08T07:00:00Z,Wyoming,NA
2024-10-09T07:00:00Z,Alabama,0.819625
2024-10-09T07:00:00Z,Alaska,0.697875
2024-10-09T07:00:00Z,Arizona,0.9982500000000001
2024-10-09T07:00:00Z,Arkansas,0.766375
2024-10-09T07:00:00Z,California,0.9533750000000001
2024-10-09T07:00:00Z,Colorado,0.790875
2024-10-09T07:00:00Z,Connecticut,0.741875
2024-10-09T07:00:00Z,Delaware,NA
2024-10-09T07:00:00Z,District of Columbia,NA
2024-10-09T07:00:00Z,Florida,0.745125
2024-10-09T07:00:00Z,Georgia,0.91475
2024-10-09T07:00:00Z,Hawaii,0.57575
